Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Sleep_Hours_per_Night_Entier,Country
S1000,Omar,Williams,student0@university.com,Female,22,Engineering,47.50823,5.188714154,50.79,56.09,F,14.0225,No,Yes,High School,Low,5,4.7,5,US
S1001,Maria,Brown,student1@university.com,Male,18,Engineering,45.62664,4.855225312,48.37,50.64,A,12.66,No,No,None,Low,4,9,9,Japan
S1002,Ahmed,Jones,student2@university.com,Male,24,Business,65.3087,6.865234375,69.22,70.3,D,17.575,No,Yes,Master's,Low,6,6.2,6,Japan
S1003,Omar,Williams,student3@university.com,Female,24,Mathematics,53.67973,5.401402279,61.52,61.63,A,15.4075,No,Yes,High School,Low,3,6.7,7,Canada
S1004,John,Smith,student4@university.com,Female,23,CS,62.02994,5.575885329,63.12,66.13,F,16.5325,No,Yes,High School,Low,2,7.1,7,Japan
S1005,Liam,Brown,student5@university.com,Male,21,Engineering,62.01792,5.88436019,55.35,62.08,B,15.52,No,Yes,PhD,Low,1,5,5,Japan
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,77.21888,6.792653061,76.14,83.21,F,20.8025,Yes,Yes,,High,5,6.4,6,Japan
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,66.93681,7.26974268,74.15,81.93,F,20.4825,Yes,Yes,None,High,4,4.3,4,Japan
S1008,Omar,Smith,student8@university.com,Female,21,CS,83.38064,8.387719298,91.31,95.62,A,23.905,Yes,Yes,Bachelor's,High,9,8.8,9,Japan
S1009,Sara,Smith,student9@university.com,Female,22,Engineering,72.58146,7.521238938,78.68,84.99,A,21.2475,Yes,Yes,None,High,10,6.4,6,Canada
S1010,John,Smith,student10@university.com,Female,23,CS,50.2115,4.508513932,49.28,58.25,A,14.5625,No,Yes,High School,Low,1,4.1,4,Australia
S1011,Omar,Williams,student11@university.com,Female,20,Engineering,70.32674,8.071889401,85.15,87.58,C,21.895,Yes,Yes,Master's,High,9,7,7,Canada
S1012,John,Davis,student12@university.com,Male,21,Engineering,49.6104,5.71732817,53.15,59.06,F,14.765,No,Yes,Master's,Low,8,4.5,5,Canada
S1013,John,Williams,student13@university.com,Male,18,Business,71.85146,7.700592885,73.16,77.93,A,19.4825,Yes,Yes,None,High,10,7.9,8,Japan
S1014,Liam,Williams,student14@university.com,Male,19,Engineering,47.11875,4.536647009,53.27,53.85,B,13.4625,No,No,None,Low,4,8.8,9,US
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,49.2278,4.630415561,47.33,52.37,A,13.0925,No,No,None,Low,2,8.6,9,Japan
S1016,Maria,Jones,student16@university.com,Female,21,CS,61.78924,6.496007098,64.34,73.21,F,18.3025,No,Yes,None,Low,3,6.1,6,Australia
S1017,Liam,Davis,student17@university.com,Female,23,Business,47.073,5.05952381,49.97,55.25,F,13.8125,No,Yes,PhD,Low,10,7.6,8,France
S1018,Liam,Jones,student18@university.com,Male,20,CS,52.98263,5.403639371,56.96,65.33,B,16.3325,No,Yes,None,Low,9,4.8,5,France
S1019,John,Johnson,student19@university.com,Male,20,Engineering,58.10392,5.376706827,63.53,66.94,D,16.735,No,Yes,PhD,Low,10,4.4,4,US
S1020,Emma,Davis,student20@university.com,Male,18,CS,87.40836,7.673026886,80.03,88.47,D,22.1175,Yes,Yes,High School,High,2,8.1,8,US
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,56.30235,5.855008787,59.87,66.63,C,16.6575,No,Yes,None,Low,8,7.5,8,France
S1022,Sara,Davis,student22@university.com,Male,22,Engineering,63.66144,6.653606411,70.45,74.72,C,18.68,No,Yes,None,Low,10,8.5,9,US
S1023,Liam,Williams,student23@university.com,Female,23,CS,77.19673,6.844015444,80.1,88.63,D,22.1575,Yes,Yes,Master's,High,1,8.6,9,US
